stt,wrong,right
1933,chiếc mều size đại,con mèo size đại
1934,đừng nhục chí,đừng nhụt chí
1935,nghĩ vợ chân dài trống dc xe,nghĩ vợ chân dài chống được xe
1936,về dưới chướng của ta,về dưới trướng của ta
1937,có đuôi thì bạn cũng thấy mờ mờ chứ,có đui thì bạn cũng thấy mờ mờ chứ
1938,ối giời ơi,ối trời ơi
1939,ao ko có mà mặt,áo không có mà mặc
1940,nàm thì nười . lói thì nườm . nòng nợn thì gắp nia nịa ấy,làm thì lười. nói thì lườm. lòng lợn thì gắp lia lịa ấy
1941,được cấp phép đàn hoàn,được cấp phép đàng hoàng
1942,cái hồ này xâu quá,cái hồ này sâu quá
1943,gỏi bò nướng cá pháo,gỏi bò nướng cà pháo
1944,chè đậu gián,chè đậu ván
1945,cần tỉnh dưởng nhiều hơn,cần tịnh dưỡng nhiều hơn
1946,đón mừng lồng chí lến tị lạn chín chị,đón mừng đồng chí đến tị nạn chính trị
1947,tặng kèm phễu giót dầu,tặng kèm phễu rót dầu
1948,sau riêng ngâm thuốc mùi thơm bay khắp phố,sầu riêng ngâm thuốc mùi thơm bay khắp phố
1949,đãng dân chủ và ông tt,đảng dân chủ và ông tổng thống
1950,những lời hâm doạ vô lý cũa tq,những lời hăm dọa vô lý của trung quốc
1951,"bất lực trước chuyến đi của pelosi bắc kinh chỉ lên miệng ""chữi đổng""","bất lực trước chuyến đi của pelosi, bắc kinh chỉ lên miệng ""chửi đổng"""
1952,gẫm người lại nhớ đến ta... mà buồn,ngẫm người lại nhớ đến ta mà buồn
1953,độ tài,độc tài
1954,dư luậ viên đánh thuê,dư luận viên đánh thuê
1955,đẹp hơn tho du hn,đẹp hơn thủ đô hà nội
1956,cho thao muối nè,cho thau muối nè
1957,chứ không phải bỡn chơi đâu,chứ không phải giỡn chơi đâu
1958,cặn bả,cặn bã
1959,nếu phản đối sẽ gây căn thẳng đấy ,nếu phản đối sẽ gây căng thẳng đấy 
1960,"chắc do cùng ""tầng số""","chắc do cùng ""tần số"""
1961,họ đi nhận đồ từ thiện đợt rầm hay mùng một,họ đi nhận đồ từ thiện đợt rằm hay mùng một
1962,2 người phụ nử quyền lực,2 người phụ nữ quyền lực
1963,tq sẽ chế diễu,trung quốc sẽ chế giễu
1964,vén bức màng bí mật,vén bức màn bí mật
1965,banh xát ,banh xác
1966,lao đầu vào chổ chết ,lao đầu vào chỗ chết 
1967,người mỹ góc việt,người mỹ gốc việt
1968,đặt nhiệm,đặc nhiệm
1969,tôi đệ nghị ,tôi đề nghị 
1970,thế giới cùng trung tay giúp việt nam dữ vững biển đông,thế giới cùng chung tay giúp việt nam giữ vững biển đông
1971,a ra video hữu ít quá,anh ra video hữu ích quá
1972,vượt ông áp lục tấn công,vượt sông áp lục tấn công
1973,"sản phẩm đóng gói chưa đc kỉ lắm,","sản phẩm đóng gói chưa được kỹ lắm,"
1974,nhiều quốc gia đã chọn giử khoảng cách với bắc kinh,nhiều quốc gia đã chọn giữ khoảng cách với bắc kinh
1975,nội dung xúc tích và chuyên sâu,nội dung súc tích và chuyên sâu
1976,quảng lý kênh này,quản lý kênh này
1977,tiếp tục cảnh báo và hâm dọa sẽ gặp mình,tiếp tục cảnh báo và hăm dọa sẽ gặp mình
1978,mấy cộng dây điện,mấy cọng dây điện
1979,để chú yên ổn kiém tiền đi,để chú yên ổn kiếm tiền đi
1980,nhưng chất lương nhớt thì hơn hẳn các dòng cùng giá,nhưng chất lượng nhớt thì hơn hẳn các dòng cùng giá
1981,sẽ sớm có mặt tại đà nẵng để phụ vụ mọi người,sẽ sớm có mặt tại đà nẵng để phục vụ mọi người
1982,lon giấy trán bạc bên trong nên rất chắc chắn bạn ạ,lon giấy tráng bạc bên trong nên rất chắc chắn bạn ạ
1983,kịch bàn này hay đấy,kịch bản này hay đấy
1984,rất nhiều người khôn nhà dai chợ,rất nhiều người khôn nhà dại chợ
1985,bạn xộp dữ nghe,bạn sộp dữ nghe
1986,"việt nam bị cáo buộc ""dấu"" nguồn gốc bông vải sợi nhập từ tân cương trung quốc","việt nam bị cáo buộc ""giấu"" nguồn gốc bông vải sợi nhập từ tân cương trung quốc"
1987,không hỗ danh là quốc gia phát triển,không hổ danh là quốc gia phát triển
1988,là loại dây cáp dời,là loại dây cáp rời
1989,"nồi mới thay chạy ok nhưng khi đề thì không bắt,mà tuột luốc có tiếng kêu rè rè","nồi mới thay chạy ok nhưng khi đề thì không bắt,mà tuột luốt có tiếng kêu rè rè"
1990,máy em mới làm song nổ bị hụp hụp ở pô,máy em mới làm xong nổ bị hụp hụp ở bô
1991,lên full bộ 100cc nồng đóng,lên full bộ 100cc lòng đóng
1992,tại sao xe phải làm lại máy có nên ra hãng làm hây làm ở tiệm sửa xe,tại sao xe phải làm lại máy có nên ra hãng làm hay làm ở tiệm sửa xe
1993,vỏ tốt không bị nức dùng tốt cho các loại xe,"vỏ tốt không bị nứt, dùng tốt cho các loại xe"
1994,vô lăng hãng hàng rả xe,vô lăng hãng hàng rã xe
1995,đủa dẫn sên cam,đũa dẫn sên cam
1996,chỉ có ukhốngb thôi bạn ơi,chỉ có vu khống thôi bạn ơi
1997,không châf nhận sự xin lỗi,không chấp nhận sự xin lỗi
1998,toa tập với nhau,toa rập với nhau
1999,chia sẽ mạnh đi những người có lương tri,chia sẻ mạnh đi những người có lương tri
2000,bò đỏ không có ốc sáng tạo,bò đỏ không có óc sáng tạo
2001,"chữi mỹ là việc làm, định cư mỹ là ước mơ","chửi mỹ là việc làm, định cư mỹ là ước mơ"
2002,là trùn xã hội đen,là trùm xã hội đen
2003,gọi là kỷ sư vẻ thiết kế,gọi là kỹ sư vẽ thiết kế
2004,phù hợp với mọi đối tượng chứ không chỉ chon nam giới yêu xe.,phù hợp với mọi đối tượng chứ không chỉ cho nam giới yêu xe.
2005,ác quỹ phải đền tội,ác quỷ phải đền tội
2006,"mất mặt vụ đài loan, bắc kinh điên cuồng trả đủa và phô trương quân sự","mất mặt vụ đài loan, bắc kinh điên cuồng trả đũa và phô trương quân sự"
2007,bị hai người phụ nử tát cho vỡ mặt rồi,bị hai người phụ nữ tát cho vỡ mặt rồi
2008,là 1 nử tướng,là 1 nữ tướng
2009,diệt lũ tai say,diệt lũ tay sai
2010,tiền hổ trợ chỉ nghe trên đài ,tiền hỗ trợ chỉ nghe trên đài 
2011,sai thoi gian dai thi chua biet,xài thời gian dài thì chưa biết
2012,anh ta sẳn sàng bỏ tiền triệu để theo các vụ kiện,anh ta sẵn sàng bỏ tiền triệu để theo các vụ kiện
2013,khiến nhân viên anh hoãng sợ không thể tập trung làm việc,khiến nhân viên anh hoảng sợ không thể tập trung làm việc
2014,tội hâm dọa ,tội hăm dọa 
2015,luận sư trẻ mới ra trường,luật sư trẻ mới ra trường
2016,nước vn tôi chưa sản xuất được cây xào nhảy cao để vận động viên sử dụng,nước việt nam tôi chưa sản xuất được cây sào nhảy cao để vận động viên sử dụng
2017,có lẻ tôi cũng được dự phần nầy rồi,có lẽ tôi cũng được dự phần này rồi
2018,chầu nầy củng đậm nha a,chầu nầy cũng đậm nha anh
2019,rất là cần đặc câu hỏi,rất là cần đặt câu hỏi
2020,lương y như từ mẫu day các bạn a ,lương y như từ mẫu đấy các bạn ạ
2021,lên đầu cao hải khoét chứ,lên đầu cao phải khoét chứ
2022,dỹ nhiên là phải rộng nhé,dĩ nhiên là phải rộng nhé
2023,muốn xã tức,muốn xả tức
2024,sao lạ zậy quý zị,sao lạ vậy quý vị
2025,đế chế đọc tài là vậy mà ông bàn già,đế chế độc tài là vậy mà ông bạn già
2026,"sống trong "" lằn tên mũi đạn "" ","sống trong ""làn tên mũi đạn"" "
2027,hơn nừa người nhật cũng còn có mỹ và thế giới dân chủ văn minh tiến bộ đứng bên cạnh,hơn nữa người nhật cũng còn có mỹ và thế giới dân chủ văn minh tiến bộ đứng bên cạnh
2028,"kêu họ shares rộng rải cho bạn bè, hàng xóm","kêu họ shares rộng rãi cho bạn bè, hàng xóm"
2029,đúng là mẩu người vn truyền thống thành thật và tiết kiệm,đúng là mẫu người việt nam truyền thống thành thật và tiết kiệm
2030,1 lần chạy thẵng lun 9k5 vẩn ko sao,1 lần chạy thẳng lun 9k5 vẫn không sao
2031,"bạn đi cở 2 chai, khi nao thây nhớt bạn tháo lốc nhớt ra","bạn đi cỡ 2 chai, khi nào thay nhớt bạn tháo lốc nhớt ra"
2032,a ấy vẫn kiên nhẫn cố lột hết miến giấy nhôm ra mới chịu,anh ấy vẫn kiên nhẫn cố lột hết miếng giấy nhôm ra mới chịu
2033,vừa mơi xã em shell này ra sau 3k km,vừa mới xả em shell này ra sau 3k km
2034,chạy đường trường 200km rất im máy bốc lam,chạy đường trường 200km rất êm máy bốc lắm
2035,nhớt này chỉ dành cho xe củ thôi,nhớt này chỉ dành cho xe cũ thôi
2036,thợ hãng thì ỡ ngoài biết gì đâu sữa xe,thợ hãng thì ở ngoài biết gì đâu sửa xe
2037,hảng cứ kêu phải thay luôn nguyên bộ trái khế,hãng cứ kêu phải thay luôn nguyên bộ trái khế
2038,"hồi giờ tui dô hãng chưa sữa được món hàng nào, toàn thay không","hồi giờ tui vô hãng chưa sửa được món hàng nào, toàn thay không"
2039,còn sửa thì bị hư lại quài thay xong lần sau sài kĩ xíu rất lâu hư,"còn sửa thì bị hư lại hoài, thay xong lần sau xài kĩ xíu, rất lâu hư"
2040,anh này nói chuyện rất hay và có lý lẻ dẫn chứng thuyết phục,"anh này nói chuyện rất hay và có lý lẽ, dẫn chứng thuyết phục"
2041,lật sư cưới vợ lần thứ 3,luật sư cưới vợ lần thứ 3
2042,chúc mừng đôi bạn trẻ chiều nay lên ủy ban lấy dái khen,chúc mừng đôi bạn trẻ chiều nay lên ủy ban lấy giấy khen
2043,phải cứi tới bồn lần mí chịu à nha,phải cưới tới bồn lần mới chịu à nha
2044,thằng khốn nạn mắc dạy,thằng khốn nạn mất dạy
2045,"tôi rất thích nhạc của nhạc sĩ nhật ngân, ông đã sáng tác nhiều bài bất hưu xuân này con không về, con về mẹ ở đâu","tôi rất thích nhạc của nhạc sĩ nhật ngân, ông đã sáng tác nhiều bài bất hủ xuân này con không về, con về mẹ ở đâu"
2046,mỗi người một nửa bạn quyền thì tốt hơn,mỗi người một nửa bản quyền thì tốt hơn
2047,vì họ là tầng lớp đỏ mún đầu tư giả lấy quốc tịch,vì họ là tầng lớp đỏ muốn đầu tư giả lấy quốc tịch
2048,không giử hộ chiếu nó lại thì tiền mất tật mang,không giữ hộ chiếu nó lại thì tiền mất tật mang
2049,đã linh thiên và hiển linh,đã linh thiêng và hiển linh
2050,khó chịu lám há bạn?,khó chịu lắm hả bạn?
2051,chúc tất cả cộng đồng người việt ở hãi ngoại có nhiều sức khõe,chúc tất cả cộng đồng người việt ở hải ngoại có nhiều sức khỏe
2052,kẻ gian đâu cho họ bén mãn đến ,kẻ gian đâu cho họ bén mảng đến 
2053,"để nả pháo làng mạc khu dân cư, y tế giết dân lành","để nã pháo làng mạc khu dân cư, y tế giết dân lành"
2054,cuộc xăm lăng của putin,cuộc xâm lăng của putin
2055,đánh bật 100k quân chiều tiên,đánh bật 100k quân triều tiên
2056,"ngày hôm sau, đào tầu hết","ngày hôm sau, đào tẩu hết"
2057,mua bán bắt họp phát,mua bán bất hợp phát
2058,tan gia bại sản,tán gia bại sản
2059,không bảo vê cộng đồng người việt hải ngoại,không bảo vệ cộng đồng người việt hải ngoại
2060,thọt gạy bánh xe người khác,thọc gậy bánh xe người khác
2061,ai cũng trã hàng,ai cũng trả hàng
2062,thì sợ lổ mất tiền,thì sợ lỗ mất tiền
2063,"tại sao tụi bây thích nói dốc, nói phét","tại sao tụi bây thích nói dóc, nói phét"
2064,"mình sài castrol cứ 1k thay 1 lần, tự thay luôn","mình xài castrol cứ 1k thay 1 lần, tự thay luôn"
2065,rõ ràng sòng phån,rõ ràng sòng phẳng
2066,​đi học phân loy,​đi học phân lô
2067,sẻ hiểu rõ,sẽ hiểu rõ
2068,vẩn một mực nói lên cho mọi người đều biết để cảnh giác,vẫn một mực nói lên cho mọi người đều biết để cảnh giác
2069,kiểm tra xe janus báo lổi đề không được,kiểm tra xe janus báo lỗi đề không được
2070,ngụy hiểm đến tính mạng đó anh,nguy hiểm đến tính mạng đó anh
2071,bệnh giời khg đơn giản đâu,bệnh giời không đơn giản đâu
2072,nếu mà bên đấy có cỏ mực dã ra đắp vào chỗ đó là nó hết,nếu mà bên đấy có cỏ mực giã ra đắp vào chỗ đó là nó hết
2073,chờ điều tra làm rỏ,chờ điều tra làm rõ
2074,ũng hô,ủng hộ
2075,future mắc lổi này anh em thợ chú ý,future mắc lỗi này anh em thợ chú ý
2076,thịt cá không cần đong lạnh,thịt cá không cần đông lạnh
2077,vì anh chót sinh ra dưới chế độ của,vì anh trót sinh ra dưới chế độ của
2078,sỉ nhục đất nước cửa mình,sỉ nhục đất nước của mình
2079,khi ông hoàng sinh tồn dẫn vợ theo trãi nghiệm và cái kết ,khi ông hoàng sinh tồn dẫn vợ theo trải nghiệm và cái kết 
2080,tối tâm mặt mũi dân tộc,tối tăm mặt mũi dân tộc
2081,tưởng ônh quan tàu đi sứ hay đóng phim,tưởng ông quan tàu đi sứ hay đóng phim
2082,hướng dẫn gáp nồi xe wave rsx 110,hướng dẫn ráp nồi xe wave rsx 110
2083,vì sợ vạ láy vua lừa,vì sợ vạ lây vua lừa
2084,mấy đứa nhân viên khâc về việt nam củng đợt với,mấy đứa nhân viên khác về việt nam cùng đợt với
2085,là cưu giám đốc công ty dầu khí sông hông,là cựu giám đốc công ty dầu khí sông hồng
2086,mà giám xưng một công ty,mà dám xưng một công ty
2087,nó chia đồng bọn + tiêu sài,nó chia đồng bọn + tiêu xài
2088,bị tóm tại chổ,bị tóm tại chỗ
2089,"thằng cha ít kỷ, láo cá, ham danh lợi","thằng cha ích kỷ, láo cá, ham danh lợi"
2090,x hốt hoảng đổi vé về mỹ sớm vì sợ dính liếu đến y,x hốt hoảng đổi vé về mỹ sớm vì sợ dính líu đến y
2091,mợt lắm,mệt lắm
2092,các con nối bước theo tiềm tương lai cho mình,các con nối bước theo tìm tương lai cho mình
2093,nhìn cắp đôi này chán hơn nếp,nhìn cặp đôi này chán hơn nếp
2094,tiệm bán xe này nhất khoát không chịu lấy cái mũ này xuống.,tiệm bán xe này dứt khoát không chịu lấy cái mũ này xuống.
2095,vì không muốn dính lếu,vì không muốn dính líu
2096,tụi bây ăn lượng từ ngân sách,tụi bây ăn lương từ ngân sách
2097,hay quá và chính sát,hay quá và chính xác
2098,mi làm chi mà có vẽ lo sợ bị bắt rứa? ,mi làm chi mà có vẻ lo sợ bị bắt rứa? 
2099,mình không chụp màng hình,mình không chụp màn hình
2100,nhưng thật tế ,nhưng thực tế 
2101,phải có sự trung thành nếu khg trong thành thì khó thành công,phải có sự trung thành nếu không trung thành thì khó thành công
2102,tung chiêu nào là đối phương hết đở,tung chiêu nào là đối phương hết đỡ
2103,​lây ông phật ra kinh doanh nên thầy giào kết xù,lấy ông phật ra kinh doanh nên thầy giàu kết xù
2104,bửa nay,bữa nay
2105,kiến thức hây vây,kiến thức hay vậy
2106,thấy nễ phục và thương mến mấy ng này,thấy nể phục và thương mến mấy người này
2107,có thễ lấm bạn ơi,có thể lắm bạn ơi
2108,chửi rủa sĩ nhục nhau trên mạng,chửi rủa sỉ nhục nhau trên mạng
2109,khổ đến mấy vẩn phải dành ra 1phân đến chùa để nuôi mấy cha,khổ đến mấy vẫn phải dành ra 1 phần đến chùa để nuôi mấy cha
2110,bắt đâu đỗ thừa cho nhau,bắt đầu đổ thừa cho nhau
2111,cho hỏi bệnh thiện giảm chưa,cho hỏi bệnh thuyên giảm chưa
2112,với thơì gian là 15 phút đề tài này đã làm cho cã hội trường xúc động và nức nỡ,với thời gian là 15 phút đề tài này đã làm cho cả hội trường xúc động và nức nở
2113,phát hiện ra hắn một cách qúa dể dàng vì,phát hiện ra hắn một cách quá dễ dàng vì
2114,lang thang công viên và ngũ trong xe ,lang thang công viên và ngủ trong xe 
2115,mông quê hương thứ hai này sẽ giúp,mong quê hương thứ hai này sẽ giúp
2116,sư quốc doanh chủa ba vàng,sư quốc doanh chùa ba vàng
2117,u mê đỗ tiền vô cho mấy ông thầy chùa,u mê đổ tiền vô cho mấy ông thầy chùa
2118,film bản góc,film bản gốc
2119,tốn kém quãng 100 ngàn dollar /1 năm,tốn kém khoảng 100 ngàn dollar /1 năm
2120,đẽ con mà không biết nuôi con cho nên người,đẻ con mà không biết nuôi con cho nên người
2121,system sạch sẻ không mất một cái gì,system sạch sẽ không mất một cái gì
2122,thích nhật tiền,thích nhặt tiền
2123,cũng không chịu nỗi vũ khí thời hiện đại,cũng không chịu nổi vũ khí thời hiện đại
2124,"thấy vô lý vậy còn làm,dắt bộ xang quán khác","thấy vô lý vậy còn làm,dắt bộ sang quán khác"
2125,sưu tầm ngâm cứu đánh bài nầy chín xác vào đúng lúc đúng trọng tâm thời điểm mùa cô hồn ma tăng,sưu tầm nghiên cứu đánh bài này chính xác vào đúng lúc đúng trọng tâm thời điểm mùa cô hồn ma tăng
2126,nói xây mấy trăm căn nhà mà không xây căn nhà mẩu thì bán cho ai ,nói xây mấy trăm căn nhà mà không xây căn nhà mẫu thì bán cho ai 
2127,bạn này thiếu xót một điều quan trọng,bạn này thiếu sót một điều quan trọng
2128,người bình luận thì chưỡi nhiều hơn khen,người bình luận thì chửi nhiều hơn khen
2129,vô quứt liền,vô quất liền
2130,truyện chinh thám của thám tử,truyện trinh thám của thám tử
2131,cũng không gở nổi tội này,cũng không gỡ nổi tội này
2132,hãy bí mật tìm cách liên lặc với fbi,hãy bí mật tìm cách liên lạc với fbi
2133,về việc bọn nàt lợi dụng thương hiệu của,về việc bọn này lợi dụng thương hiệu của
2134,ngay xác bên nhà mình mới vừa xây xong khu nhà chưa tới 70 cắn mà gần 3 năm mới xong,ngay sát bên nhà mình mới vừa xây xong khu nhà chưa tới 70 căn mà gần 3 năm mới xong
2135,nếu mà thật sự có thiệt thì khoảng 7-10 năm mới song caí này.,nếu mà thật sự có thiệt thì khoảng 7-10 năm mới xong cái này.
2136,nhưng đang tiềm hiểu để đầu tư,nhưng đang tìm hiểu để đầu tư
2137,có khi họ muốn mãnh đất hoang như vậy,có khi họ muốn mảnh đất hoang như vậy
2138,đơn giãn hệ thống phòng thủ ko đánh chặn dc,đơn giản hệ thống phòng thủ không đánh chặn được
2139,quã nhiên là đồng minh như mình dự đoán! ,quả nhiên là đồng minh như mình dự đoán! 
2140,tụi em rất muốn nói mà không giám,tụi em rất muốn nói mà không dám
2141,ác với dân đến mức này thì lịch sữ vn đã có triều đại nào,ác với dân đến mức này thì lịch sử việt nam đã có triều đại nào
2142,hôm trước thấy cấm phát hành trái phiếu là biếc có mùi rồi ,hôm trước thấy cấm phát hành trái phiếu là biết có mùi rồi 
2143,còn nhiều nước ũng hộ nga,còn nhiều nước ủng hộ nga
2144,lòng người thật bình yêu ,lòng người thật bình yên
2145,kẻ xác nhân,kẻ sát nhân
2146,sở dỉ chúng hợp nhau vì đều ... du cơ để sang mỹ,sở dĩ chúng hợp nhau vì đều ... du cơ để sang mỹ
2147,bộ thương mại hoa kỳ kết luận gổ vn (ván ép) nguồn gốc từ trung quốc,bộ thương mại hoa kỳ kết luận gỗ việt nam (ván ép) nguồn gốc từ trung quốc
2148,sở hữu giọng nói rất ngọt và dể mến ,sở hữu giọng nói rất ngọt và dễ mến 
2149,tóm tắc thời sự rất là hài,tóm tắt thời sự rất là hài
2150,đừng chụp mu tiếng nói tu do,đừng chụp mũ tiếng nói tự do
2151,chj chia sẽ hay,chị chia sẻ hay
2152,tiếc là ít người vn có hiệu biết như bạn vậy,tiếc là ít người việt nam có hiểu biết như bạn vậy
2153,tác giã phân luận về 2 tiếng chuông quá chỉnh,tác giả phân luận về 2 tiếng chuông quá chỉnh
2154,quá trình xây nhà bán cần những ai tham gia và cần làm nhựng việc gì trước khi được khởi công,quá trình xây nhà bán cần những ai tham gia và cần làm những việc gì trước khi được khởi công
2155,rã máy xe rsx 110 fi thay lun lốc vì sai lầm nhỏ nhiều người hay mắt phải,"rã máy xe rsx 110 fi, thay luôn lốc vì sai lầm nhỏ nhiều người hay mắc phải"
2156,có khi nào thầy k biết chổ mình để bài tập lớn k ta,có khi nào thầy không biết chỗ mình để bài tập lớn không ta
2157,đã có 80 triệu đô la lừa đảo nên sẳn sàng bung tiền để kiện bất kỳ ai nói về họ để bịt miệng,đã có 80 triệu đô la lừa đảo nên sẵn sàng bung tiền để kiện bất kỳ ai nói về họ để bịt miệng
2158,lâm trể như dự kiến ,làm trễ như dự kiến 
2159,tu thẹo môn phái,tu theo môn phái
2160,sau khi vui vẽ xong,sau khi vui vẻ xong
2161,cho tớ gửi lời hỏi thâm sức khoẻ ảnh,cho tớ gửi lời hỏi thăm sức khoẻ ảnh
2162,thế hệ thứ hai ở mỷ không như trước,thế hệ thứ hai ở mỹ không như trước
2163,sửa xe quang trọng là có tâm,sửa xe quan trọng là có tâm
2164,e trai chắc làn đầu mua xe cũ nên nghe giá rẻ nên mua mà ko biết xe đó bệnh quá trời,em trai chắc lần đầu mua xe cũ nên nghe giá rẻ nên mua mà không biết xe đó bệnh quá trời
2165,"đã 8 tháng rồi thì công trình chưa có gì là khả quan, đang phát triễn cả","đã 8 tháng rồi thì công trình chưa có gì là khả quan, đang phát triển cả"
2166,muốn chữi tổng thống cũng được,muốn chửi tổng thống cũng được
2167,chủ xe gặp ca khó đâu đầu,chủ xe gặp ca khó đau đầu
2168,tội nghiêp cho chủ tiệm củ,tội nghiêp cho chủ tiệm cũ
2169,em làm youtube có gì sai xót mong anh chị cô chú thông cảm,em làm youtube có gì sai sót mong anh chị cô chú thông cảm
2170,sao rét bạn,sao ghét bạn
2171,chỉ là một kẽ lừa đảo,chỉ là một kẻ lừa đảo
2172,xe chay được tuần vẩn mượt mà,xe chạy được tuần vẫn mượt mà
2173,không ai bị bẻ mặt nhiều như,không ai bị bẽ mặt nhiều như
2174,tiệm nghĩ thứ 4 hàng tuần,tiệm nghỉ thứ 4 hàng tuần
2175,ae xem món đồ khách đổi thừa có đáng ko,anh em xem món đồ khách đổ thừa có đáng không
2176,để nhột mấy con bò lém,để nhột mấy con bò lắm
2177,làm thọ nghề rất có tâm.rất thik,làm thợ nghề rất có tâm. rất thích
2178,ko lên làm như vậy lếu b hàn sắt dầy mối hàn sẽ ko ngấu,"không nên làm như vậy, nếu bạn hàn sắt dày mối hàn sẽ không ngấu"
2179,dùng khí thường củng được hả anh ,dùng khí thường cũng được hả anh 
2180,"mong anh ' mỗ xẻ "" nửa đi",mong anh mổ xẻ nữa đi
2181,hay lắm tôi bữa nào rãnh cũng làm 1 cái,hay lắm tôi bữa nào rảnh cũng làm 1 cái
2182,điều trị cho bệnh nhân bị hoại tử cách tay,điều trị cho bệnh nhân bị hoại tử cánh tay
2183,cảm ơn a đã chia sẽ,cảm ơn anh đã chia sẻ
2184,"cái chuông 2 lớp kim loại khác nhau độ giãn nở khác nhau, dự đoán thằng gan bên trong giãn nở nhiều hơn thằng nhôm bên ngoài","cái chuông 2 lớp kim loại khác nhau độ giãn nở khác nhau, dự đoán thằng gang bên trong giãn nở nhiều hơn thằng nhôm bên ngoài"
2185,dohc áp lực nên thành đầu thấp hơn,dohc áp lực lên thành đầu thấp hơn
2186,tôi thấy bạn chủ kênh này kiền thức sâu,tôi thấy bạn chủ kênh này kiến thức sâu
2187,do dịch bệnh nên em mới nghỉ hàn gần nữa năm,do dịch bệnh nên em mới nghỉ hàn gần nửa năm
2188,đói với đàn ông thì hân gởi email,đối với đàn ông thì hắn gởi email
2189,đánh dau tháng đó,đánh đâu thắng đó
2190,dự án của nó còn thấy có đường nhựa kẽ vạch cột điện lề đường nắp cống,"dự án của nó còn thấy có đường nhựa kẻ vạch, cột điện, lề đường, nắp cống"
2191,chúc anh nhìu sức khoẻ và thành công,chúc anh nhiều sức khoẻ và thành công
2192,quá hữu ích cho xã hội cãm ơn bác,"quá hữu ích cho xã hội, cảm ơn bác"
2193,nhưng vẫn gống cổ hát rất hào hùng,nhưng vẫn rống cổ hát rất hào hùng
2194,vững tay chèo sống gió sẻ vượt qua,vững tay chèo sóng gió sẽ vượt qua
2195,tự chế máy xúc kim phun,tự chế máy súc kim phun
2196,không thiết kế đồng hồ đo áp xuất hơi vào à bác,không thiết kế đồng hồ đo áp suất hơi vào à bác
2197,sẽ đi vào sử sách thews giới ,sẽ đi vào sử sách thế giới 
2198,mún thay lốc số mới thì số máy phai lam sao chu,muốn thay lốc số mới thì số máy phải làm sao chú
2199,vì sao xe moto pkl củ ở việt nam mau hư,vì sao xe moto phân khối lớn cũ ở việt nam mau hư
2200,trung quốc hâm doa đài loan,trung quốc hăm dọa đài loan
2201,chứ ko lẻ mua bảo hiểm khơi khơi mà ko nghỉ tới sẻ đền bù cho khách thì thui rồi,chứ không lẽ mua bảo hiểm khơi khơi mà không nghĩ tới sẽ đền bù cho khách thì thôi rồi
2202,người nước ngoài sài 2-3 trăm đô thì ko sao,người nước ngoài xài 2-3 trăm đô thì không sao
2203,chúng ta hãy mạnh mẻ ủng hộ và gầy dựng mỗi ngày có thêm những tiếng nói vì lẽ phải,chúng ta hãy mạnh mẽ ủng hộ và gầy dựng mỗi ngày có thêm những tiếng nói vì lẽ phải
2204,chớt cũng không được yên,chết cũng không được yên
2205,cách sữa máy cưa giật không nổ,cách sửa máy cưa giật không nổ
2206,gặp thợ khác thì chỉ có thay luôn nốc máy thôi,gặp thợ khác thì chỉ có thay luôn lốc máy thôi
2207,gần chỗ anh đem qua a sữa cho chất lượng,gần chỗ anh đem qua anh sửa cho chất lượng
2208,bạn này chắc rớt mất óc nhớt,bạn này chắc rớt mất ốc nhớt
2209,mình bị tình trạng quên siết óc nhớt như v,mình bị tình trạng quên siết ốc nhớt như vậy
2210,ae nào bến tre làm xe chuẫn nhu a thì tốt quá,anh em nào bến tre làm xe chuẩn như anh thì tốt quá
2211,không khác nước,không khát nước
2212,nước cổng bẩn thãi,nước cống bẩn thải
2213,tôi làm lại óc xã nhớt bị nứt,tôi làm lại ốc xả nhớt bị nứt
2214,chân thành cảm ơn ban trương trình ,chân thành cảm ơn ban chương trình 
2215,đến khi mưa xuống ngập cao. đem lờ mà đặc cấm sào hụt chân.,"đến khi mưa xuống ngập cao. đem lờ mà đặt, cắm sào hụt chân."
2216,võ nouvo 1 sài võ 16,vỏ nouvo 1 xài vỏ 16
2217,kimh nghiệm cho ae,kinh nghiệm cho anh em
2218,ex150 lên 65 dên đôn brt 7.5mm ko thớt lòng púa đỉnh,"ex150 lên 65 dên đôn brt 7.5mm không thớt lòng, quá đỉnh"
2219,"anh ơi một cặp mâm , một bộ bi ;dảm rật , của sh 150i đời 2008 hàng xịn là bao nhiêu tiền","anh ơi một cặp mâm, một bộ bi, giảm giật, của sh 150i đời 2008 hàng xịn là bao nhiêu tiền"
2220,nhiều người đi làm lấy tiền mặc,nhiều người đi làm lấy tiền mặt
2221,hai việc này nó khác nhau ở chổ nào,hai việc này nó khác nhau ở chỗ nào
2222,thằng tồi tề thì phải đưa nó ra ánh sáng,thằng tồi tệ thì phải đưa nó ra ánh sáng
2223,"giáo hàng nhanh, có mã cào hành chính hãng","giao hàng nhanh, có mã cào hàng chính hãng"
2224,những líp của bạn rất thực tế,những clip của bạn rất thực tế
2225,"dể hiểu, hậu quả của lười biết, ngu dốt nhưng lại muốn hơn người ","dễ hiểu, hậu quả của lười biếng, ngu dốt nhưng lại muốn hơn người "
2226,vậy là đc r muốn cở nào nữa má ,vậy là được rồi muốn cỡ nào nữa má 
2227,đó là 1 sự ao ược,đó là 1 sự ao ước
